CPU no USED,Agents,vCPU,CPU USED,Time, MemoryUsed
18.13953488372093,363524316,1.0,65.95348837209302,106418,188.09302325581396
54.53846153846154,1537050062,2.0,29.692307692307693,126603,169.0
68.5,1537050062,4.0,22.818181818181817,101330,205.36363636363637
79.0909090909091,1537051024,6.0,15.545454545454545,90802,241.36363636363637
83.6086956521739,1537051986,8.0,12.565217391304348,103480,276.95652173913044
82.44,1537052948,8.0,13.2,103094,272.6
83.26923076923077,1537053910,8.0,12.923076923076923,93367,289.0
80.77777777777777,1537054872,8.0,15.185185185185185,122443,317.44444444444446
81.20689655172414,1537055834,8.0,14.793103448275861,112848,341.7586206896552
81.7,1537056796,8.0,15.033333333333333,110000,321.03333333333336
80.0,1537057758,8.0,16.4,153436,387.12
80.83333333333333,363524316,8.0,15.9,135927,372.2
80.02941176470588,363494524,8.0,17.029411764705884,124656,361.2352941176471
79.06060606060606,363464732,8.0,17.272727272727273,108307,384.969696969697
72.6,363434940,8.0,23.0,117530,501.36
79.41176470588235,363405148,8.0,17.61764705882353,101829,390.2647058823529
77.39393939393939,363375356,8.0,19.87878787878788,112490,466.42424242424244
76.81818181818181,363345564,8.0,20.09090909090909,117024,439.54545454545456
76.47368421052632,363315772,8.0,20.68421052631579,105743,475.9736842105263
72.85714285714286,363285980,8.0,23.82857142857143,134450,481.42857142857144
68.95121951219512,363256188,8.0,28.390243902439025,103771,511.8536585365854
70.78048780487805,362600764,8.0,26.585365853658537,98489,494.2439024390244
67.85,362570972,8.0,29.875,98329,565.375
67.3170731707317,362541180,8.0,30.26829268292683,117004,513.5121951219512
65.78571428571429,362511388,8.0,31.595238095238095,155340,605.6666666666666
63.888888888888886,362481596,8.0,33.91111111111111,109043,577.2
66.93478260869566,362451804,8.0,30.717391304347824,134388,534.1521739130435
64.31914893617021,362422012,8.0,33.148936170212764,105622,558.7234042553191
64.38297872340425,362392220,8.0,33.40425531914894,122447,585.3191489361702
59.867924528301884,362362428,8.0,38.056603773584904,137619,661.6981132075472
60.0,362332636,8.0,38.0188679245283,132811,657.8679245283018
60.735849056603776,361677212,8.0,37.0377358490566,163909,612.188679245283
59.14035087719298,361647420,8.0,39.01754385964912,156523,624.859649122807
52.88135593220339,361617628,8.0,45.50847457627118,128081,685.457627118644
47.0,361587836,8.0,51.50769230769231,149185,703.6461538461539
46.5735294117647,361558044,8.0,51.9264705882353,152296,694.7352941176471
45.628571428571426,361528252,8.0,52.885714285714286,143626,712.6428571428571
3.6055555555555556,361498460,1.0,93.19444444444444,248529,276.1111111111111
4.901639344262295,361468668,1.0,92.1256830601093,261058,274.8251366120219
45.75757575757576,361438876,8.0,52.803030303030305,144750,693.4090909090909
43.40298507462686,361409084,8.0,55.23880597014925,162670,729.1641791044776
46.056338028169016,360753660,8.0,52.84507042253521,127815,719.3521126760563
45.46969696969697,360723868,8.0,53.10606060606061,134646,709.3939393939394
46.87671232876713,360694076,8.0,51.75342465753425,182065,691.3972602739726
