CPU no USED,Agents,vCPU,CPU USED,Time
7.6871165644,92,4,92.3374233129,162.255
8.2929936306,87,4,91.8152866242,156.68
7.9221556886,96,4,92.1077844311,166.886
19.1308411215,49,6,80.9158878505,106.489
1.41,27,1,98.54,100.083
91.8888888889,1,18,8,8.816
86.2692307692,16,18,13.9230769231,25.832
8.8129032258,85,4,91.2322580645,154.968
18.4909090909,51,6,81.4181818182,109.28
58.1315789474,71,32,41.7631578947,37.05
89,10,18,11.25,19.265
89.8666666667,6,18,10.4,14.77
88.2727272727,12,18,11.8181818182,21.678
18.7981651376,50,6,81.1559633028,108.453
8.2625,89,4,91.8625,159.832
0.9509803922,28,1,99.0294117647,102.028
50.0508474576,38,16,49.7796610169,58.604
7.0495049505,30,2,93.198019802,100.689
7.36,29,2,92.91,99.568
89.3157894737,9,18,10.7894736842,18.595
57,57,28,42.972972973,36.37
57.4888888889,51,24,42.4444444444,44.2
87.9523809524,11,18,12.0952380952,21.011
55.9782608696,52,24,44.0217391304,45.443
88.16,14,18,12.12,24.427
89.4705882353,7,18,10.4117647059,16.526
55.406779661,44,18,44.593220339,58.361
87.3076923077,15,18,12.8846153846,25.618
18.4666666667,46,6,81.5047619048,104.454
88.5416666667,13,18,11.5416666667,23.389
9.0204081633,77,4,91.0136054422,146.853
89.6111111111,8,18,10.5555555556,17.872
62.8857142857,68,32,37.2571428571,34.609
62.1627906977,49,24,37.8139534884,42.471
49.6229508197,39,16,50.3770491803,60.426
82,18,18,18.2333333333,29.416
6.4158415842,30,2,93.8118811881,101.481
51.5409836066,45,18,48.393442623,60.054
54.4363636364,40,18,45.4545454545,54.443
65.3846153846,58,28,34.5897435897,38.315
36.7721518987,35,10,63.2405063291,78.407
57.8571428571,60,28,42.1904761905,41.259
38.2820512821,34,10,61.7051282051,77.664
22.3020833333,30,4,77.7291666667,95.117
52.7666666667,37,16,47.2,59.266
54.6610169492,36,16,45.3898305085,58.293
40.8846153846,33,10,59,77.059
19.9811320755,45,6,79.9528301887,105.239
58.2105263158,69,32,41.8157894737,37.475
9.176056338,71,4,90.9225352113,142.022
9.064516129,82,4,90.9741935484,154.634
77.6578947368,23,18,22.4736842105,37.08
77.2857142857,21,18,22.7714285714,34.88
1.4716981132,29,1,98.5283018868,105.988
57.7391304348,50,24,42.152173913,45.936
19.0454545455,48,6,80.9,109.504
8.3841059603,78,4,91.7086092715,150.748
8.0952380952,74,4,92.0340136054,146.24
78.0303030303,19,18,22.1212121212,33.025
51.5833333333,42,18,48.2666666667,59.046
0.0756756757,98,1,99.9027027027,184.38
41.5324675325,32,10,58.4675324675,77.026
75.3,25,18,24.725,39.931
76.4871794872,24,18,23.641025641,38.852
73.7111111111,29,18,26.3111111111,44.514
58.7619047619,59,28,41.2857142857,41.955
8.1739130435,86,4,91.8385093168,160.094
8.3333333333,79,4,91.7516339869,152.242
7.6342857143,99,4,92.5142857143,174.842
64.4666666667,48,24,35.4666666667,44.44
7.4152046784,95,4,92.6081871345,170.735
18.8867924528,44,6,81.1981132075,105.815
77.3142857143,20,18,22.7428571429,35
59.9473684211,67,32,39.9736842105,37.129
52.1016949153,41,18,47.8305084746,58.899
50.0806451613,43,18,49.7580645161,61.346
51.2,35,16,48.7833333333,59.612
