CPUnoUSED,Agents,vCPU,CPU Used,Time
14.2837055417701,34,2,85.9487179487179,110.307
14.278232405892,35,2,85.9645390070922,114.444
14.2122861586314,36,2,86.0458786936236,113.112
14.0825369244136,37,2,86.1833188531712,115.533
14.374446257869,38,2,85.9083702494754,94.549
14.3496829541216,39,2,85.9365908243193,109.15
14.1916691820103,40,2,86.0959855116209,116.17
13.5934959349594,41,2,86.6991869918699,112.755
13.5936675461741,42,2,86.6675461741425,117.287
13.8651226158038,43,2,86.3732970027248,108.457
13.5056,44,2,86.7344,118.824
13.3477344573235,45,2,86.9014752370917,119.308
13.2768192048012,46,2,86.9906226556639,117.97
12.9620357634113,47,2,87.3075653370014,128.259
12.84644589749,48,2,87.4250158194474,128.078
12.7078558379007,49,2,87.5831257266235,132.228
12.6222342147868,50,2,87.6648677819752,129.044
12.2740740740741,51,2,88.037037037037,124.871
12.367758186398,52,2,87.9143576826197,120.86
12.3943488943489,53,2,87.8894348894349,128.525
12.5730253353204,54,2,87.6922503725782,121.827
12.8227526663281,55,2,87.4464195022854,115.162
12.8438988640528,56,2,87.4239648222792,116.7
12.7263896384242,57,2,87.5528872099298,129.304
12.6894948213908,58,2,87.6002959205242,118.139
12.6083502366464,59,2,87.6886409736308,121.599
10.7730574208579,60,2,89.5292585994244,150.453
12.9615384615385,61,2,87.3076923076923,119.513
12.2517985611511,62,2,88.0335731414868,133.371
12.1604790419162,63,2,88.1305389221557,129.734
11.6970118137596,64,2,88.5969423210563,140.97
11.9976258309592,65,2,88.2929724596391,123.44
12.1826989619377,66,2,88.1124567474049,120.599
12.0880762297193,67,2,88.2078289981973,132.02
12.1622596153846,68,2,88.1460336538462,128.469
12.2524131274131,69,2,88.0624195624196,125.811
11.9858883899936,70,2,88.322257857601,147.897
12.0428571428571,71,2,88.2071428571429,129.941
12.4347826086957,72,2,87.8091787439614,126.622
12.1923536439665,73,2,88.0334528076464,130.511
12.167026637869,74,2,88.0914326853852,127.853
12.5078201368524,75,2,87.7512218963832,121.411
12.5907498248073,76,2,87.6779957953749,124.515
12.3653846153846,77,2,87.9121621621622,131.961
12.4276462254604,78,2,87.8510422991297,126.445
12.3647534357316,79,2,87.9277283751011,128.084
12.2873232058669,80,2,88.0053693033002,135.181
13.3257575757576,81,2,86.8409090909091,121.415
12.2843373493976,82,2,87.9421686746988,131.415
12.3425814234017,83,2,87.913148371532,127.938
12.2249110320285,84,2,88.0306049822064,133.99
12.3401913875598,85,2,87.9181818181818,126.704
12.2647858599592,86,2,88.0203942895989,131.965
12.4538163001294,87,2,87.8269081500647,121.504
12.8627040602763,88,2,87.4187944746756,104.062
12.8496666666667,89,2,87.438,125.579
12.7337390128465,90,2,87.5540229885057,129.55
12.6382978723404,91,2,87.5957446808511,130.472
11.9842342342342,92,2,88.295045045045,141.371
12.0161476355248,93,2,88.2560553633218,130.772
12.3577586206897,94,2,87.9173850574713,121.149
12.4252983293556,95,2,87.835799522673,130.221
12.3073519400953,96,2,87.9608577263445,130.612
12.4228498074454,97,2,87.8490372272144,126.467
12.3563514048279,98,2,87.9307479224377,134.778
12.4182677165354,99,2,87.8781102362205,133.793
12.3385664650624,100,2,87.9737485523099,132.162
80.4,1,4,19.6,9.788
79.88888889,2,4,20.12698413,11.099
78.488,3,4,21.496,10.585
77.4084507,4,4,22.5915493,11.887
75.6809816,5,4,24.33128834,12.396
74.24842105,6,4,25.74736842,14.779
73.65954198,7,4,26.3389313,16.143
72.67239404,8,4,27.2233677,17.147
72.048,9,4,27.88266667,18.131
71.90767045,10,4,28.03977273,18.624
71.22074928,11,4,28.70201729,19.735
70.69091774,12,4,29.25249643,20.468
69.85049702,13,4,30.10337972,21.722
68.92359475,14,4,31.04779536,22.68
68.19982773,15,4,31.77777778,24.173
67.28957146,16,4,32.68887788,24.38
66.40215285,17,4,33.58514532,25.687
64.13416651,18,4,35.86068737,34.207
62.0236771,19,4,37.97282695,34.902
59.83177442,20,4,40.15474553,38.754
57.89997598,21,4,42.08645533,40.372
56.30866025,22,4,43.68531247,41.364
54.82185362,23,4,45.17589729,42.674
53.72624853,24,4,46.26542795,40.941
52.59371221,25,4,47.39185308,43.552
51.45891062,26,4,48.52614779,47.49
50.54254599,27,4,49.44207223,46.537
49.24093781,28,4,50.75047112,53.903
47.91738305,29,4,52.07022191,57.784
46.92946437,30,4,53.06227758,53.925
45.44601887,31,4,54.55233348,66.149
43.87830707,32,4,56.1226962,72.351
41.87537822,33,4,58.12924356,85.849
39.96586051,34,4,60.03844429,89.477
38.17775566,35,4,61.82980441,96.13
36.85428677,36,4,63.15810131,89.921
35.9555601,37,4,64.05556691,78.724
35.05682296,38,4,64.95470969,84.197
34.31220285,39,4,65.70012326,80.129
33.54866402,40,4,66.46376627,84.519
32.61525467,41,4,67.39820931,95.842
32.14178641,42,4,67.87096004,77.195
31.6372759,43,4,68.37800111,81.39
30.98445661,44,4,69.03294019,91.367
30.40249373,45,4,69.615886,92.51
30.07985106,46,4,69.93971991,76.877
29.63793063,47,4,70.3838379,86.914
29.17809986,48,4,70.84367463,91.414
28.92108557,49,4,71.10329372,78.682
28.39682732,50,4,71.63000212,100.983
28.18018279,51,4,71.84724472,82.085
27.82405827,52,4,72.20102383,91.412
27.61252623,53,4,72.41659862,82.136
27.38305207,54,4,72.6508421,83.306
27.07739856,55,4,72.95693203,89.578
26.83319859,56,4,73.20227288,87.758
26.5799075,57,4,73.45770426,93.408
26.2783905,58,4,73.76227645,98.587
26.05453809,59,4,73.98837115,91.706
25.89972877,60,4,74.14416917,84.294
25.74362894,61,4,74.30138196,86.39
25.61176577,62,4,74.43587625,89.818
25.37383156,63,4,74.67594663,98.671
25.15043513,64,4,74.90278908,96.48
24.93991163,65,4,75.1143856,97.766
24.78643341,66,4,75.27039442,89.926
24.69075153,67,4,75.36666399,84.198
24.52351598,68,4,75.53554009,96.786
24.42316969,69,4,75.63685208,83.302
24.28991608,70,4,75.77318666,94.828
24.14654835,71,4,75.9177052,91.305
24.01864091,72,4,76.04711227,96.108
23.98459912,73,4,76.08351157,84.629
23.88729273,74,4,76.1823544,89.387
23.78864466,75,4,76.28319135,91.68
23.6665963,76,4,76.40623975,96.338
23.51143473,77,4,76.56286093,104.919
23.41310539,78,4,76.66281138,94.76
23.32048561,79,4,76.75869578,96.191
23.24955546,80,4,76.83238732,89.208
23.20273789,81,4,76.88053924,91.808
23.07413103,82,4,77.01045543,101.347
23.009357,83,4,77.0757686,90.587
22.97313965,84,4,77.1128267,87.891
22.86834002,85,4,77.21880748,100.501
22.79548879,86,4,77.29194358,95.825
22.72583005,87,4,77.36377445,94.592
22.64209482,88,4,77.44858001,100.388
22.62941673,89,4,77.46155534,84.146
22.55836267,90,4,77.53350841,99.459
22.53573013,91,4,77.55612034,86.639
22.49518625,92,4,77.59623813,91.608
22.45554359,93,4,77.63543915,95.916
22.42102391,94,4,77.67049342,87.185
22.37969657,95,4,77.71247574,93.596
22.33828579,96,4,77.7549534,92.324
22.29044212,97,4,77.80434759,96.116
22.20244252,98,4,77.89399319,106.958
22.16809278,99,4,77.93106582,92.405
22.10876264,100,4,77.99157462,100.045
90.22222222,1,8,9.833333333,8.022
89.96428571,2,8,10.05357143,8.611
89.64102564,3,8,10.33333333,10.212
89.0964467,4,8,10.87309645,9.848
88.53691275,5,8,11.46644295,10.137
88.21889401,6,8,11.79262673,12.238
87.64179104,7,8,12.3615257,14.151
87.31539424,8,8,12.6795995,14.572
86.94466019,9,8,13.06407767,15.423
86.48065015,10,8,13.53018576,16.363
86.04010025,11,8,13.97869674,17.24
85.60496381,12,8,14.41106515,18.155
85.25779896,13,8,14.76256499,18.769
84.74614254,14,8,15.27296106,19.645
84.28105395,15,8,15.73902133,21.048
83.63234501,16,8,16.39056604,22.359
83.06953875,17,8,16.96043081,22.998
81.63686021,18,8,18.39995954,27.364
79.28643566,19,8,20.74804109,32.086
77.39057544,20,8,22.64642803,33.825
75.8381104,21,8,24.19413482,33.436
74.59269663,22,8,25.44183052,35.804
73.50891089,23,8,26.52204273,35.732
72.21666048,24,8,27.81352155,38.664
71.22434884,25,8,28.80485978,39.957
70.29422789,26,8,29.73178411,40.905
69.32714257,27,8,30.69966908,44.304
68.28349823,28,8,31.74007573,45.876
67.25067713,29,8,32.77054889,49.189
66.24927172,30,8,33.7693119,50.57
64.83146067,31,8,35.18118546,56.92
63.00792808,32,8,37.00044953,67.609
60.93298684,33,8,39.07320579,70.625
59.27128355,34,8,40.73189935,69.957
57.80915867,35,8,42.18913057,72.457
56.46380434,36,8,43.52914748,69.909
55.37163212,37,8,44.61702073,70.726
54.24908284,38,8,45.73921592,71.68
53.28809974,39,8,46.69582545,72.401
52.50011428,40,8,47.48255729,70.403
51.61325956,41,8,48.36703553,72.496
50.83108268,42,8,49.14634412,73.534
50.13375295,43,8,49.84136079,70.213
49.5179412,44,8,50.4558321,71.078
48.94106895,45,8,51.03241284,70.337
48.44356258,46,8,51.52747554,69.215
47.89096654,47,8,52.07989768,71.01
47.39345349,48,8,52.57689359,70.25
46.9545112,49,8,53.01477583,71.266
46.56151071,50,8,53.40685554,73.078
46.12671559,51,8,53.84006498,71.501
45.73443833,52,8,54.23048709,71.855
45.36752878,53,8,54.59796277,74.152
45.11233185,54,8,54.85375923,68.455
44.78620244,55,8,55.17872711,71.043
44.50973781,56,8,55.45570781,71.085
44.27067871,57,8,55.69349808,69.281
43.98956561,58,8,55.97363593,71.563
43.71516027,59,8,56.2470468,71.608
43.44569254,60,8,56.51476997,74.047
43.22860207,61,8,56.7320784,69.755
42.93626327,62,8,57.02163972,73.675
42.72475647,63,8,57.23154918,73.806
42.52431702,64,8,57.43104545,71.376
42.30035578,65,8,57.65320135,72.98
42.11287457,66,8,57.8393139,69.9
41.91534335,67,8,58.03501343,74.114
41.76171265,68,8,58.18799852,71.896
41.58974402,69,8,58.35969944,70.746
41.42405263,70,8,58.5230216,72.164
41.23602517,71,8,58.71006272,76.212
41.10526638,72,8,58.83906792,73.18
40.93508334,73,8,59.00754374,76.84
40.77113386,74,8,59.16981828,73.504
40.69516116,75,8,59.24457091,72.282
40.57768989,76,8,59.35951999,73.383
40.43927274,77,8,59.4953503,73.155
40.33138552,78,8,59.60184822,74.97
40.21850097,79,8,59.71327068,72.547
40.10210141,80,8,59.82802014,70.084
39.96037749,81,8,59.9680517,74.905
39.84306757,82,8,60.08418037,75.456
39.74938919,83,8,60.17713412,74.032
39.63680679,84,8,60.28900787,75.861
39.52668054,85,8,60.39908965,75.035
39.41945712,86,8,60.50574308,74.86
39.27680728,87,8,60.64803857,79.388
39.18585373,88,8,60.73884737,76.186
39.10472715,89,8,60.81859608,76.939
39.00743756,90,8,60.9146457,77.385
38.90421031,91,8,61.01683639,75.283
38.79328125,92,8,61.12624112,76.009
38.71322641,93,8,61.20582582,75.405
38.64692666,94,8,61.272849,76.69
38.5803009,95,8,61.33854355,73.806
38.49739445,96,8,61.42224289,78.887
38.42838516,97,8,61.49259934,78.605
38.34195336,98,8,61.57890085,77.301
38.27757139,99,8,61.64420602,77.102
38.21291652,100,8,61.70882736,76.305
